Reading_ID,Moisture_pct,Soil_Temp_C,EC_Conductivity_dS_m,pH_Level,Fault_Status
SOIL_00214,45.8,19.51,2.63,6.8,0
SOIL_00215,64.31,30.54,-0.07,6.98,0
SOIL_00216,28.57,28.92,2.86,6.77,0
SOIL_00217,78.7,35.9,1.72,5.7,0
SOIL_00218,51.68,28.44,0.84,6.4,0
SOIL_00219,60.2,23.47,1.76,6.11,0
SOIL_00220,44.12,25.72,1.22,7.37,0
SOIL_00221,28.99,15.93,2.96,6.28,0
SOIL_00222,54.77,21.4,1.39,6.89,0
SOIL_00223,58.68,16.21,1.13,5.63,0
SOIL_00224,41.91,30.58,3.27,7.97,0
SOIL_00225,49.6,13.19,2.08,6.71,0
SOIL_00226,44.89,20.53,1.44,5.42,0
SOIL_00227,33.3,15.7,3.1,7.31,0
SOIL_00228,50.91,28.05,2.72,6.7,0
SOIL_00229,32.3,23.02,1.37,7.13,0
SOIL_00230,58.75,21.82,1.24,9.02,0
SOIL_00231,86.74,14.91,-6.14,7.42,1
SOIL_00232,64.79,30.56,1.69,7.38,0
SOIL_00233,41.67,16.43,1.3,6.22,0
SOIL_00234,51.29,19.57,1.79,6.59,0
SOIL_00235,65.4,21.97,3.02,6.21,0
SOIL_00236,43.26,25.22,2.53,5.45,0
SOIL_00237,55.05,20.27,2.07,6.16,0
SOIL_00238,57.92,30.62,1.56,7.41,0
SOIL_00239,49.72,22.33,1.71,6.81,0
SOIL_00240,48.42,32.0,2.28,5.57,0
SOIL_00241,63.92,16.48,2.22,6.41,0
SOIL_00242,76.19,25.17,1.85,5.87,0
SOIL_00243,43.4,17.57,2.56,6.87,0
SOIL_00244,67.33,21.06,0.98,5.95,0
SOIL_00245,18.23,14.01,2.49,14.67,1
SOIL_00246,53.72,30.25,2.23,5.47,0
SOIL_00247,5.74,30.25,0.8,7.83,0
SOIL_00248,31.08,29.36,1.34,6.46,0
SOIL_00249,26.36,27.77,2.85,6.41,0
SOIL_00250,74.47,38.48,2.17,6.77,0
SOIL_00251,39.91,23.27,1.72,6.83,0
SOIL_00252,44.13,32.12,2.03,5.95,0
SOIL_00253,41.04,21.94,1.81,6.69,0
SOIL_00254,18.97,25.66,2.05,6.57,0
SOIL_00255,50.16,26.94,2.46,7.32,0
SOIL_00256,46.37,11.12,3.07,7.1,0
SOIL_00257,30.38,21.32,1.12,6.49,0
SOIL_00258,69.84,20.67,2.62,6.52,0
SOIL_00259,69.27,69.17,1.54,6.33,1
SOIL_00260,22.36,17.69,0.94,6.59,0
SOIL_00261,32.64,22.99,2.72,6.47,0
SOIL_00262,53.46,24.14,1.32,6.63,0
SOIL_00263,36.63,15.97,2.5,5.33,0
SOIL_00264,41.08,22.23,2.56,5.99,0
SOIL_00265,26.68,20.51,3.16,7.65,0
SOIL_00266,26.86,29.23,2.66,5.97,0
SOIL_00267,35.64,25.47,2.71,6.39,0
SOIL_00268,0.0,17.38,2.63,6.67,1
SOIL_00269,48.56,27.87,1.96,6.36,0
SOIL_00270,30.3,21.69,2.75,6.05,0
SOIL_00271,24.32,22.38,1.62,7.24,0
SOIL_00272,22.64,16.46,1.36,5.67,0
SOIL_00273,62.8,23.21,2.22,4.85,0
SOIL_00274,83.25,27.67,2.67,7.53,0
SOIL_00275,52.74,20.56,1.68,5.47,0
SOIL_00276,0.0,,1.52,7.08,1
SOIL_00277,55.23,27.42,0.79,6.19,0
SOIL_00278,66.34,5.0,1.22,7.7,1
SOIL_00279,33.31,23.57,1.31,6.3,0
SOIL_00280,60.84,13.74,0.1,6.07,1
SOIL_00281,64.29,16.2,1.52,7.21,0
SOIL_00282,,11.56,2.14,7.49,1
SOIL_00283,34.45,12.36,0.75,7.8,0
SOIL_00284,46.35,20.22,2.71,4.49,0
SOIL_00285,48.27,20.86,0.1,4.92,1
SOIL_00286,68.73,23.36,0.85,5.63,0
SOIL_00287,37.63,16.62,1.44,5.61,0
SOIL_00288,0.0,27.0,1.26,6.11,1
SOIL_00289,49.91,20.72,1.96,6.54,0
SOIL_00290,62.28,23.86,1.55,6.65,0
SOIL_00291,58.65,2.67,1.59,6.94,0
SOIL_00292,33.2,22.02,1.21,5.94,0
SOIL_00293,49.84,26.72,0.94,6.43,0
SOIL_00294,32.57,8.34,2.37,6.45,0
SOIL_00295,44.58,22.2,2.5,6.51,0
SOIL_00296,76.47,17.27,1.33,6.1,0
SOIL_00297,37.37,31.24,2.15,6.67,0
SOIL_00298,34.0,14.28,1.17,5.67,0
SOIL_00299,41.67,34.97,2.35,7.88,0
SOIL_00300,57.16,29.75,1.71,5.8,0
SOIL_00301,57.02,22.68,1.28,6.82,0
SOIL_00302,51.48,13.39,1.08,6.24,0
SOIL_00303,30.65,19.25,2.56,12.0,1
SOIL_00304,40.53,26.12,0.83,5.29,0
SOIL_00305,70.34,22.66,1.75,6.07,0
SOIL_00306,17.69,15.41,0.46,6.31,0
SOIL_00307,49.66,28.65,1.13,6.04,0
SOIL_00308,41.06,21.42,0.91,7.04,0
SOIL_00309,53.43,23.7,0.09,7.84,0
SOIL_00310,-91.22,27.97,1.43,6.44,1
SOIL_00311,17.98,27.29,1.57,6.91,0
SOIL_00312,55.59,28.48,0.98,7.49,0
SOIL_00313,27.44,26.19,1.37,5.64,0
SOIL_00314,,17.98,1.64,7.92,1
SOIL_00315,45.91,21.75,0.47,5.44,0
SOIL_00316,37.6,30.1,1.82,6.5,0
SOIL_00317,30.63,13.91,2.22,7.04,0
SOIL_00318,38.0,15.23,2.01,7.74,0
SOIL_00319,31.8,25.25,2.02,6.49,0
SOIL_00320,72.84,21.46,1.69,6.58,0
SOIL_00321,50.65,11.95,2.04,7.8,0
SOIL_00322,42.15,105.81,2.55,5.3,1
SOIL_00323,58.66,24.72,3.56,5.69,0
SOIL_00324,41.6,37.81,1.08,5.52,0
SOIL_00325,40.32,23.16,1.22,5.63,0
SOIL_00326,61.8,34.72,1.12,5.76,0
SOIL_00327,32.51,27.9,2.69,7.49,0
SOIL_00328,26.59,10.71,2.89,7.72,0
SOIL_00329,56.81,22.18,9.71,6.8,1
SOIL_00330,47.95,21.61,0.87,7.28,0
SOIL_00331,47.78,21.47,1.59,7.15,0
SOIL_00332,38.69,16.81,2.04,6.5,0
SOIL_00333,55.72,26.81,2.04,7.24,0
SOIL_00334,20.34,19.93,0.1,7.11,1
SOIL_00335,10.13,29.06,2.54,7.02,0
SOIL_00336,37.85,28.17,2.51,6.57,0
SOIL_00337,56.33,20.57,1.51,6.65,0
SOIL_00338,67.4,18.36,2.09,6.36,0
SOIL_00339,54.86,18.65,0.65,5.09,0
SOIL_00340,28.39,22.16,1.86,6.45,0
SOIL_00341,28.54,23.93,1.92,6.54,0
SOIL_00342,66.79,19.31,0.92,5.78,0
SOIL_00343,159.79,19.51,1.59,6.12,1
SOIL_00344,-157.93,23.71,2.83,7.06,1
SOIL_00345,61.57,28.2,1.77,7.2,0
SOIL_00346,0.0,23.46,2.24,5.17,1
SOIL_00347,41.25,21.83,3.47,5.94,0
SOIL_00348,42.12,23.42,1.48,7.14,0
SOIL_00349,56.47,11.22,2.4,5.49,0
SOIL_00350,49.27,20.61,1.67,6.4,0
SOIL_00351,9.62,14.46,2.57,5.5,0
SOIL_00352,60.89,18.73,1.77,5.79,0
SOIL_00353,55.55,16.51,2.54,6.78,0
SOIL_00354,50.87,16.43,2.76,7.0,0
SOIL_00355,70.37,16.09,1.66,7.34,0
SOIL_00356,30.46,35.95,2.54,8.74,0
SOIL_00357,25.81,21.66,0.6,6.35,0
SOIL_00358,54.02,29.23,1.89,6.39,0
SOIL_00359,31.38,26.56,2.72,7.52,0
SOIL_00360,75.0,26.13,,7.4,1
SOIL_00361,32.52,25.26,0.92,6.94,0
SOIL_00362,32.07,34.52,1.01,6.19,0
SOIL_00363,37.75,24.57,1.43,7.09,0
SOIL_00364,39.65,11.32,1.92,6.03,0
SOIL_00365,38.36,20.95,1.35,5.97,0
SOIL_00366,40.26,15.72,2.43,3.5,1
SOIL_00367,38.48,13.6,1.6,8.16,0
SOIL_00368,17.0,24.59,1.3,6.27,0
SOIL_00369,54.08,9.55,1.07,6.55,0
SOIL_00370,37.16,22.65,1.84,5.24,0
SOIL_00371,42.25,12.11,,5.78,1
SOIL_00372,23.15,20.95,2.44,6.79,0
SOIL_00373,17.56,26.66,1.53,6.88,0
SOIL_00374,43.31,18.08,2.13,8.05,0
SOIL_00375,,14.9,2.9,5.66,1
SOIL_00376,72.37,19.96,2.66,6.61,0
SOIL_00377,28.64,25.72,1.51,6.14,0
SOIL_00378,31.68,23.82,2.28,6.73,0
SOIL_00379,48.06,21.57,1.67,6.07,0
SOIL_00380,0.0,16.98,1.49,5.11,0
SOIL_00381,34.45,19.56,1.15,7.01,0
SOIL_00382,49.01,26.14,3.04,5.91,0
SOIL_00383,40.86,21.2,1.31,14.32,1
SOIL_00384,10.81,23.45,1.69,6.55,0
SOIL_00385,12.08,19.84,0.47,6.48,0
SOIL_00386,19.24,15.22,2.57,4.12,0
SOIL_00387,43.61,34.02,1.78,5.23,0
SOIL_00388,29.95,26.7,2.63,6.28,0
SOIL_00389,73.03,23.66,2.05,3.5,1
SOIL_00390,20.94,21.01,1.89,5.75,0
SOIL_00391,67.1,69.06,2.39,6.2,1
SOIL_00392,23.35,17.22,1.79,7.58,0
SOIL_00393,90.29,26.02,,7.06,1
SOIL_00394,56.92,22.23,1.99,6.84,0
SOIL_00395,5.09,20.42,2.58,6.6,0
SOIL_00396,66.9,20.34,1.2,4.98,0
SOIL_00397,36.68,29.83,0.33,5.24,0
SOIL_00398,61.7,10.77,1.3,5.77,0
SOIL_00399,44.8,31.99,2.03,6.18,0
SOIL_00400,38.61,28.14,0.98,7.47,0
SOIL_00401,,22.22,1.72,6.53,1
SOIL_00402,23.92,20.58,2.09,5.99,0
SOIL_00403,37.07,21.94,1.19,6.28,0
SOIL_00404,21.74,24.91,2.7,7.6,0
SOIL_00405,36.5,29.41,2.27,6.6,0
SOIL_00406,48.51,24.9,1.1,7.03,0
SOIL_00407,64.04,23.67,2.29,6.11,0
SOIL_00408,71.76,22.16,1.22,4.96,0
SOIL_00409,44.78,10.94,1.44,7.02,0
SOIL_00410,24.73,12.04,6.02,6.76,1
SOIL_00411,44.07,28.6,2.38,7.27,0
SOIL_00412,42.09,24.83,1.77,6.57,0
SOIL_00413,68.72,26.96,2.09,8.44,0
SOIL_00414,60.76,26.85,2.8,5.75,0
SOIL_00415,49.19,25.68,1.98,5.63,0
SOIL_00416,72.37,27.21,1.36,6.35,0
SOIL_00417,35.89,16.87,2.29,6.26,0
SOIL_00418,56.28,25.4,1.42,6.34,0
SOIL_00419,35.91,24.72,1.6,6.42,0
SOIL_00420,36.51,113.66,2.19,6.24,1
SOIL_00421,7.77,0.28,2.21,6.06,0
SOIL_00422,46.82,36.34,1.67,5.71,0
SOIL_00423,47.33,27.09,1.58,6.94,0
SOIL_00424,42.53,-48.49,3.08,7.45,1
SOIL_00425,53.17,16.28,0.27,9.14,0
SOIL_00426,62.99,20.25,2.06,6.8,0
SOIL_00427,44.68,24.08,1.81,7.4,0
SOIL_00428,55.86,32.02,1.5,6.67,0
SOIL_00429,51.73,31.15,2.0,7.06,0
SOIL_00430,64.37,25.71,1.12,6.44,0
SOIL_00431,54.6,26.38,0.89,17.57,1
SOIL_00432,0.0,23.19,2.53,6.31,1
SOIL_00433,49.77,15.9,1.33,8.02,0
SOIL_00434,28.13,17.3,1.71,7.93,0
SOIL_00435,67.71,27.79,0.22,5.83,0
SOIL_00436,56.55,26.24,0.59,6.9,0
SOIL_00437,53.56,18.3,1.98,6.29,0
SOIL_00438,17.23,17.46,2.56,7.93,0
SOIL_00439,71.8,25.88,1.32,5.55,0
SOIL_00440,63.03,20.19,2.94,7.41,0
SOIL_00441,50.65,17.26,2.7,6.58,0
SOIL_00442,0.0,24.05,2.42,5.02,0
SOIL_00443,38.91,26.06,2.56,8.04,0
SOIL_00444,79.43,15.39,-8.98,5.12,1
SOIL_00445,53.59,19.97,1.44,5.68,0
SOIL_00446,23.22,26.39,1.47,5.51,0
SOIL_00447,34.97,31.45,2.29,7.54,0
SOIL_00448,37.83,23.75,0.93,6.01,0
SOIL_00449,65.33,18.94,2.03,5.57,0
SOIL_00450,,17.02,2.12,6.99,1
SOIL_00451,64.03,21.99,2.29,5.61,0
SOIL_00452,59.21,21.77,2.2,6.87,0
SOIL_00453,85.36,9.05,0.9,6.79,0
SOIL_00454,54.59,11.82,0.61,6.7,0
SOIL_00455,22.69,8.3,1.85,4.94,0
SOIL_00456,44.14,22.09,3.51,7.43,0
SOIL_00457,27.15,28.31,0.1,7.67,1
SOIL_00458,52.0,27.47,1.57,7.26,0
SOIL_00459,76.37,14.32,2.01,7.11,0
SOIL_00460,29.56,16.5,1.42,6.36,0
SOIL_00461,61.77,14.19,2.26,7.88,0
SOIL_00462,33.86,22.53,2.3,5.39,0
SOIL_00463,17.09,27.55,2.88,4.69,0
SOIL_00464,73.78,28.83,2.18,7.5,0
SOIL_00465,49.19,17.92,1.57,5.1,0
SOIL_00466,53.85,22.66,2.41,7.38,0
SOIL_00467,60.51,17.53,1.77,5.36,0
SOIL_00468,14.39,22.14,1.54,7.01,0
SOIL_00469,40.22,18.19,1.51,5.91,0
SOIL_00470,15.43,18.64,1.45,6.81,0
SOIL_00471,35.58,14.07,2.56,7.63,0
SOIL_00472,65.69,3.96,2.55,5.83,0
SOIL_00473,53.09,19.71,-5.23,7.83,1
SOIL_00474,33.89,24.03,1.49,6.51,0
SOIL_00475,45.44,23.22,-2.62,6.59,1
SOIL_00476,42.38,13.02,1.29,7.45,0
SOIL_00477,50.6,8.46,1.74,7.55,0
SOIL_00478,33.74,21.52,0.74,6.45,0
SOIL_00479,42.79,15.04,1.72,5.27,0
SOIL_00480,47.72,19.3,2.41,6.54,0
SOIL_00481,52.66,14.99,1.43,5.3,0
SOIL_00482,48.95,12.66,2.52,6.43,0
SOIL_00483,15.51,29.02,2.23,6.22,0
SOIL_00484,22.32,24.76,2.11,5.35,0
SOIL_00485,56.23,21.85,1.41,3.5,1
SOIL_00486,40.42,27.33,1.16,7.52,0
SOIL_00487,37.0,22.1,2.5,6.24,0
SOIL_00488,40.48,19.73,0.98,6.13,0
SOIL_00489,40.45,31.95,1.53,6.93,0
SOIL_00490,13.19,32.34,1.97,7.81,0
SOIL_00491,76.13,15.94,3.49,6.03,0
SOIL_00492,42.97,23.64,2.3,7.44,0
SOIL_00493,45.26,22.86,1.34,6.5,0
SOIL_00494,46.42,27.18,1.79,8.05,0
SOIL_00495,62.32,15.65,1.64,7.35,0
SOIL_00496,57.31,29.66,2.03,6.21,0
SOIL_00497,43.65,16.45,2.5,6.72,0
SOIL_00498,29.29,21.19,-3.71,5.86,1
SOIL_00499,67.26,15.18,1.94,6.63,0
SOIL_00500,46.01,18.79,2.48,0.03,1
SOIL_00501,55.71,15.79,0.96,5.95,0
SOIL_00502,25.48,16.27,0.1,7.44,1
SOIL_00503,56.68,26.63,14.67,6.68,1
SOIL_00504,19.35,21.74,1.79,6.79,0
SOIL_00505,37.85,33.96,0.25,6.1,0
SOIL_00506,47.39,20.69,1.31,6.25,0
SOIL_00507,76.27,17.29,0.32,6.22,0
SOIL_00508,56.85,18.85,1.05,3.5,1
SOIL_00509,70.87,21.07,1.89,6.0,0
SOIL_00510,53.28,23.87,2.09,5.81,0
SOIL_00511,25.02,19.6,1.52,5.39,0
SOIL_00512,25.12,14.27,0.32,6.44,0
SOIL_00513,58.7,27.6,1.39,5.74,0
SOIL_00514,26.97,29.31,0.92,7.83,0
SOIL_00515,17.21,19.45,1.62,5.43,0
SOIL_00516,27.43,30.92,1.87,6.18,0
SOIL_00517,49.83,18.97,0.67,7.09,0
SOIL_00518,30.71,28.26,1.53,4.79,0
SOIL_00519,67.59,16.3,0.26,7.12,0
SOIL_00520,52.69,36.24,1.67,5.84,0
SOIL_00521,48.41,11.45,1.66,5.64,0
SOIL_00522,51.98,15.4,0.74,6.97,0
SOIL_00523,55.87,35.19,0.79,7.06,0
SOIL_00524,56.13,11.73,3.04,5.62,0
SOIL_00525,30.29,20.52,2.04,6.23,0
SOIL_00526,67.69,18.83,1.31,7.47,0
SOIL_00527,56.31,22.19,1.57,6.14,0
SOIL_00528,37.89,23.53,0.97,5.7,0
SOIL_00529,58.91,20.57,1.96,6.4,0
SOIL_00530,21.02,26.44,1.72,6.43,0
SOIL_00531,60.39,30.47,2.31,6.29,0
SOIL_00532,50.18,18.51,2.52,6.86,0
SOIL_00533,6.4,11.28,2.74,11.24,1
SOIL_00534,80.96,17.95,2.4,7.0,0
SOIL_00535,21.47,23.8,1.65,6.2,0
